symbol,timestamp,trade_count,total_volume,average_trade_size,first_price,last_price,price_change_percent,buy_volume,sell_volume,volume_imbalance,trade_size_std,trade_size_cv,repeated_size_ratio,repeated_price_ratio,trade_rate,buy_sell_alternation,price_volume_divergence,prediction,anomaly_score,anomaly
SOLUSDT,2026-07-01 16:27:00+00:00,9132,74753.423,8.185876368812965,77.71,78.01,0.3860507013254554,39166.412,35587.011,0.0478827705321267,79.19544955219405,9.674645204014752,0.8194261936049059,1.0,152.2,0.0451210163180374,249178.0766666572,-1,-0.1668714940136209,True
SOLUSDT,2026-07-28 01:07:00+00:00,7407,37908.687,5.117954232482786,73.23,72.99,-0.3277345350266408,8964.58,28944.107,-0.5270434979718501,63.096192486684174,12.328401079912624,0.8238153098420413,1.0,123.45,0.0369970294355927,157952.862499994,-1,-0.14839171345557212,True
SOLUSDT,2026-07-10 05:09:00+00:00,624,25120.665,40.25747596153846,78.99,78.97,-0.0253196607165413,7643.219999999999,17477.445,-0.3914794851171336,416.9919496891897,10.35812454033579,0.7163461538461539,1.0,10.4,0.0658105939004815,1256033.2500002498,-1,-0.14678851506898316,True
SOLUSDT,2026-07-11 16:25:00+00:00,3538,64740.103,18.298502826455625,78.18,78.07,-0.1407009465336577,52543.972,12196.131,0.6232279395662994,210.0499418014132,11.479078031330902,0.7247032221594121,1.0,58.96666666666667,0.0316652530392988,588546.390909018,-1,-0.14525324829068376,True
SOLUSDT,2026-07-11 16:24:00+00:00,2514,52384.367,20.83705926809865,78.31,78.18,-0.1660068956710451,28784.37,23599.997,0.0989679420961601,145.99358309436298,7.006438922879961,0.7215592680986476,1.0,41.9,0.0513330680461599,402956.6692307833,-1,-0.141635553902849,True
SOLUSDT,2026-07-01 03:47:00+00:00,5672,49331.992,8.697459802538786,75.2,75.27,0.0930851063829696,20900.193,28431.799,-0.1526718402127365,69.66651780849806,8.009984454100314,0.8025387870239774,1.0,94.53333333333332,0.0416152354082172,704742.7428572115,-1,-0.14142300994221346,True
SOLUSDT,2026-07-11 16:34:00+00:00,2837,40065.681,14.122552344025378,78.16,78.08,-0.1023541453428842,28743.814,11321.867,0.4348346656082047,161.49515477732453,11.435266858518384,0.7049700387733522,1.0,47.28333333333333,0.0419605077574047,500821.01250001066,-1,-0.14075187197479055,True
SOLUSDT,2026-07-11 16:35:00+00:00,5993,51818.097,8.646437009844819,78.08,77.94,-0.1793032786885253,33087.105,18730.992,0.27704824822108,55.045708554243625,6.366288043452889,0.762222593025196,1.0,99.88333333333334,0.02803738317757,370129.2642857128,-1,-0.14027152834683754,True
SOLUSDT,2026-07-04 23:59:00+00:00,1604,38015.469,23.700417082294265,81.74,81.8,0.0734034744311258,5605.311,32410.158,-0.7051036776634271,172.02887123667475,7.258474424283081,0.6041147132169576,0.9993765586034912,26.733333333333334,0.0380536494073611,633591.1499999759,-1,-0.13929203097438236,True
SOLUSDT,2026-07-29 18:00:00+00:00,8772,65284.547,7.442378818969448,73.94,74.17,0.3110630240735785,37359.915,27924.632,0.1445255184201553,23.764813234251417,3.1931743616273147,0.768467852257182,0.9998860009119928,146.2,0.0616805381370425,283845.8565217342,-1,-0.1389597959573936,True
SOLUSDT,2026-07-01 11:49:00+00:00,1262,28970.883,22.95632567353407,74.86,74.79,-0.0935078813785642,11154.063,17816.82,-0.229981150384681,177.7781062217091,7.744188192392923,0.6893819334389857,1.0,21.033333333333335,0.0539254559873116,413869.7571428975,-1,-0.13752656574540323,True
SOLUSDT,2026-07-06 12:03:00+00:00,17299,55975.965,3.2357919532920976,80.11,79.58,-0.6615903133191875,21745.825,34230.14,-0.2230299200737316,11.79813208315343,3.6461343168710214,0.8745592230764784,1.0,288.31666666666666,0.0352063822407214,105615.02830188656,-1,-0.13672550003431827,True
SOLUSDT,2026-07-01 13:53:00+00:00,8926,55803.508,6.251793412502801,75.74,76.01,0.3564827039873386,46310.296,9493.212,0.6597628951928972,46.276569587032085,7.402127123152336,0.8311673762043469,1.0,148.76666666666668,0.0318207282913165,206679.65925925144,-1,-0.1361671615796154,True
SOLUSDT,2026-07-01 12:11:00+00:00,2060,31894.288,15.482664077669902,74.77,74.53,-0.3209843520128325,18009.779,13884.509,0.1293419686935792,122.90065228161328,7.937952516767998,0.7946601941747573,1.0,34.333333333333336,0.0378824672170956,132892.8666666695,-1,-0.13594392543338063,True
SOLUSDT,2026-07-14 12:30:00+00:00,14186,63571.247,4.481266530382067,75.43,76.11,0.9014980776879128,37040.151,26531.096,0.165311449687309,18.672212140769723,4.166726530139629,0.8515437755533625,0.9999295079656,236.43333333333337,0.0437786394078251,93487.12794117747,-1,-0.1351293731811425,True
SOLUSDT,2026-07-01 07:30:00+00:00,1549,29407.649,18.98492511297611,74.59,74.5,-0.1206596058452921,11825.062,17582.587,-0.1957832467328483,105.97944171563388,5.582294430184367,0.7340219496449322,0.999354422207876,25.816666666666663,0.0406976744186046,326751.6555555432,-1,-0.13495154713333746,True
SOLUSDT,2026-07-06 21:09:00+00:00,18439,65011.808,3.5257773198112696,82.38,83.27,1.080359310512261,40376.632,24635.176,0.242132260034977,18.648390928240385,5.289157322402485,0.8700037963013179,1.0,307.31666666666666,0.0547781755071048,73046.97528089883,-1,-0.13370869843981648,True
SOLUSDT,2026-07-02 10:42:00+00:00,8106,41140.002,5.075253145817912,80.99,81.22,0.2839856772441091,32904.764,8235.238,0.5996481478051461,50.01612084310712,9.8549016977254,0.8249444855662472,1.0,135.1,0.0355336212214682,178869.5739130404,-1,-0.13343988272644602,True
