symbol,timestamp,trade_count,total_volume,average_trade_size,first_price,last_price,price_change_percent,buy_volume,sell_volume,volume_imbalance,trade_size_std,trade_size_cv,repeated_size_ratio,repeated_price_ratio,trade_rate,buy_sell_alternation,price_volume_divergence
ETHUSDT,2026-07-01T00:00:00+00:00,2261,255.335,0.11293011941618752,1572.0,1573.36,0.08651399491093512,209.7415,45.5935,0.6428730882957683,0.34483682288211076,3.053541647390497,0.8589119858469704,0.9893852277753207,37.68333333333333,0.02168141592920354,187.74632352942558
ETHUSDT,2026-07-01T00:01:00+00:00,2128,101.59,0.04773966165413534,1573.36,1573.06,-0.019067473432650795,57.3917,44.1983,0.1298690816025199,0.2515212427015178,5.268601284268431,0.930921052631579,1.0,35.46666666666667,0.016455101081335213,338.63333333338466
ETHUSDT,2026-07-01T00:02:00+00:00,2259,91.3905,0.04045617529880478,1573.06,1572.77,-0.018435406151066307,72.5788,18.8117,0.5883226374732603,0.2767544353005517,6.840845266673738,0.9362549800796812,0.9991146525011066,37.65,0.012400354295837024,315.13965517245333
ETHUSDT,2026-07-01T00:03:00+00:00,2042,423.8302,0.2075564152791381,1572.77,1574.28,0.09600895235794114,80.1665,343.6637,-0.6217046354884574,1.44617278585454,6.96761304105977,0.9000979431929481,0.9926542605288933,34.03333333333333,0.0240078392944635,280.6822516556308
ETHUSDT,2026-07-01T00:04:00+00:00,1596,155.7834,0.09760864661654135,1574.28,1574.89,0.0387478720431008,139.0197,16.7637,0.7847819472421323,0.47891441695942305,4.906475333490213,0.8865914786967418,0.9993734335839599,26.6,0.018808777429467086,255.38262295076638
ETHUSDT,2026-07-01T00:05:00+00:00,1562,161.4733,0.1033759923175416,1574.88,1575.01,0.00825459717565032,98.9356,62.5377,0.2254112599420461,0.48626158118459073,4.703815366443435,0.8777208706786171,1.0,26.033333333333335,0.024983984625240232,1242.1023076934373
ETHUSDT,2026-07-01T00:06:00+00:00,1303,61.3506,0.04708411358403684,1575.0,1573.44,-0.09904761904761558,28.7589,32.5917,-0.062473716638468124,0.25236870081877805,5.359954379694213,0.9056024558710668,0.9823484267075978,21.716666666666665,0.026881720430107527,39.32730769230907
ETHUSDT,2026-07-01T00:07:00+00:00,844,33.759100000000004,0.0399989336492891,1573.44,1574.32,0.0559284116331021,27.668,6.0911,0.6391432236048946,0.2572049967069237,6.430296341449967,0.9063981042654028,0.9940758293838863,14.066666666666666,0.03558718861209965,38.36261363636879
ETHUSDT,2026-07-01T00:08:00+00:00,261,24.7651,0.09488544061302683,1574.31,1574.04,-0.01715037063856431,2.7437,22.0214,-0.7784220536157738,0.3819333625157582,4.025205132085592,0.7049808429118773,0.9808429118773946,4.35,0.06923076923076923,91.72259259259877
ETHUSDT,2026-07-01T00:09:00+00:00,1096,141.8413,0.12941724452554743,1574.04,1572.66,-0.08767248608675014,85.6403,56.201,0.20755097422259947,0.5811935039281589,4.490850551322233,0.8613138686131386,0.9753649635036497,18.266666666666666,0.030136986301369864,102.78355072464647
