symbol,timestamp,anomaly_score,volume_score,price_score,timing_score,final_score,risk_level
SOLUSDT,2026-07-07 22:00:00+00:00,-0.1169118338017201,40,50,35,41.5,LOW
SOLUSDT,2026-07-16 07:36:00+00:00,-0.1044857408291697,40,50,35,41.5,LOW
SOLUSDT,2026-07-21 19:46:00+00:00,-0.1116584456281646,30,70,20,39.0,LOW
SOLUSDT,2026-07-19 01:19:00+00:00,-0.1100838002233697,30,70,20,39.0,LOW
SOLUSDT,2026-07-25 05:04:00+00:00,-0.1061147764662667,30,70,20,39.0,LOW
SOLUSDT,2026-07-25 04:39:00+00:00,-0.1146546139711938,30,70,20,39.0,LOW
SOLUSDT,2026-07-19 06:29:00+00:00,-0.1167811263636418,30,70,20,39.0,LOW
SOLUSDT,2026-07-08 13:08:00+00:00,-0.1095724223799634,40,40,35,38.5,LOW
SOLUSDT,2026-07-02 03:19:00+00:00,-0.1022400050468225,40,40,35,38.5,LOW
SOLUSDT,2026-07-19 18:08:00+00:00,-0.1031285032340073,40,40,35,38.5,LOW
SOLUSDT,2026-07-02 03:32:00+00:00,-0.1058843783866082,40,40,35,38.5,LOW
SOLUSDT,2026-07-04 06:17:00+00:00,-0.1074875360666223,40,40,35,38.5,LOW
SOLUSDT,2026-07-04 03:19:00+00:00,-0.1184843167704308,40,40,35,38.5,LOW
SOLUSDT,2026-07-06 13:03:00+00:00,-0.1288178267757047,40,40,35,38.5,LOW
SOLUSDT,2026-07-04 23:59:00+00:00,-0.1392920309743823,40,40,35,38.5,LOW
SOLUSDT,2026-07-11 16:35:00+00:00,-0.1402715283468375,40,40,35,38.5,LOW
SOLUSDT,2026-07-11 16:25:00+00:00,-0.1452532482906837,40,40,35,38.5,LOW
SOLUSDT,2026-07-04 03:09:00+00:00,-0.1171141452471929,30,50,35,37.5,LOW
SOLUSDT,2026-07-01 17:09:00+00:00,-0.1054111352394447,30,50,35,37.5,LOW
SOLUSDT,2026-07-12 01:23:00+00:00,-0.1090585659975308,30,50,35,37.5,LOW
SOLUSDT,2026-07-28 13:47:00+00:00,-0.1121419031836894,30,50,35,37.5,LOW
SOLUSDT,2026-07-07 08:44:00+00:00,-0.1122294122465605,30,50,35,37.5,LOW
SOLUSDT,2026-07-01 03:46:00+00:00,-0.1266193874632371,30,50,35,37.5,LOW
SOLUSDT,2026-07-02 13:46:00+00:00,-0.1183768465244036,30,40,45,37.5,LOW
SOLUSDT,2026-07-01 09:15:00+00:00,-0.1256805132861368,30,50,35,37.5,LOW
SOLUSDT,2026-07-01 12:11:00+00:00,-0.1359439254333806,30,50,35,37.5,LOW
SOLUSDT,2026-07-16 08:14:00+00:00,-0.1190228289504384,30,50,35,37.5,LOW
SOLUSDT,2026-07-01 09:59:00+00:00,-0.1180726024198081,30,40,35,34.5,LOW
SOLUSDT,2026-07-02 17:10:00+00:00,-0.1053368269136013,30,40,35,34.5,LOW
SOLUSDT,2026-07-02 17:09:00+00:00,-0.108768170778002,30,40,35,34.5,LOW
SOLUSDT,2026-07-19 01:14:00+00:00,-0.108844056773248,30,40,35,34.5,LOW
SOLUSDT,2026-07-02 03:18:00+00:00,-0.1117105775178761,30,40,35,34.5,LOW
SOLUSDT,2026-07-22 04:59:00+00:00,-0.1125747069763942,30,40,35,34.5,LOW
